msg_id,datetime,icao,lat,long,alt,gs,trk,roc,callsign,flight_id,location,freq
48731929,1603340561,A289EE    ,40.0781,-83.0577,1200,66,266.53,-640,        ,282422,KOSU,1090
48731930,1603340562,A289EE    ,40.0781,-83.058,1200,65,266.48,-576,        ,282422,KOSU,1090
48731931,1603340562,A289EE    ,40.0781,-83.0582,1200,65,266.48,-576,        ,282422,KOSU,1090
48731933,1603340566,A289EE    ,40.078,-83.0598,1200,63,267.27,-704,        ,282422,KOSU,1090
48731934,1603340567,A289EE    ,40.078,-83.0601,1200,63,267.27,-704,        ,282422,KOSU,1090
48731935,1603340568,A289EE    ,40.078,-83.0603,1200,63,268.18,-704,N2628U__,282422,KOSU,1090
48731936,1603340568,A289EE    ,40.078,-83.0604,1200,63,268.18,-704,N2628U__,282422,KOSU,1090
48731937,1603340569,A289EE    ,40.0779,-83.0607,1200,63,268.18,-768,        ,282422,KOSU,1090
48731938,1603340569,A289EE    ,40.0779,-83.0608,1200,63,268.18,-768,        ,282422,KOSU,1090
48731939,1603340570,A289EE    ,40.0779,-83.061,1200,63,267.27,-704,        ,282422,KOSU,1090
48731940,1603340570,A289EE    ,40.0779,-83.0613,800,63,267.27,-704,        ,282422,KOSU,1090
48731941,1603340573,A289EE    ,40.0779,-83.0624,800,62,266.31,-640,        ,282422,KOSU,1090
48731942,1603340574,A289EE    ,40.0779,-83.0626,800,62,266.31,-576,        ,282422,KOSU,1090
48731943,1603340576,A289EE    ,40.0779,-83.0634,800,60,267.14,-576,        ,282422,KOSU,1090
48731944,1603340577,A289EE    ,40.0779,-83.0638,800,60,267.14,-512,N2628U__,282422,KOSU,1090
48731518,1603341760,A8F75B    ,40.0775,-83.0639,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731519,1603341760,A8F75B    ,40.0775,-83.0639,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731520,1603341760,A8F75B    ,40.0775,-83.0639,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731521,1603341760,A8F75B    ,40.0775,-83.0639,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731522,1603341760,A8F75B    ,40.0775,-83.0639,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731523,1603341760,A8F75B    ,40.0776,-83.0639,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731524,1603341760,A8F75B    ,40.0776,-83.0639,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731525,1603341760,A8F75B    ,40.0776,-83.0639,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731526,1603341760,A8F75B    ,40.0778,-83.064,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731527,1603341760,A8F75B    ,40.0778,-83.064,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731528,1603341760,A8F75B    ,40.0778,-83.0641,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731529,1603341760,A8F75B    ,40.0778,-83.0642,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731530,1603341760,A8F75B    ,40.0778,-83.0642,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731531,1603341760,A8F75B    ,40.0778,-83.0643,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731532,1603341760,A8F75B    ,40.0778,-83.0643,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731533,1603341760,A8F75B    ,40.0778,-83.0644,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731534,1603341760,A8F75B    ,40.0778,-83.0645,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48731535,1603341760,A8F75B    ,40.0778,-83.0647,0,80,267.2,0,SKQ25___,282421,KOSU,1090
48733729,1603354735,A41FE1    ,40.0779,-83.064,650,7,270,0,        ,282434,KOSU,1090
48741971,1603375958,AC1BFA    ,40.0781,-83.0555,1200,123,267.67,-1024,        ,282585,KOSU,1090
48741972,1603375959,AC1BFA    ,40.0781,-83.0558,1200,123,267.67,-896,        ,282585,KOSU,1090
48741973,1603375959,AC1BFA    ,40.0781,-83.0562,1200,123,267.67,-896,        ,282585,KOSU,1090
48741974,1603375960,AC1BFA    ,40.0781,-83.0566,1200,124,268.15,-1024,        ,282585,KOSU,1090
48741975,1603375960,AC1BFA    ,40.0781,-83.0569,1200,124,268.15,-1024,        ,282585,KOSU,1090
48741976,1603375960,AC1BFA    ,40.0781,-83.0573,1200,124,268.15,-1024,        ,282585,KOSU,1090
48741978,1603375962,AC1BFA    ,40.0781,-83.0581,1200,124,267.23,-1088,N88FA___,282585,KOSU,1090
48741979,1603375962,AC1BFA    ,40.0781,-83.0585,1200,124,267.23,-1088,N88FA___,282585,KOSU,1090
